"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 08 01:38:07 CST 2020","Sat Aug 08 01:40:07 CST 2020","120667","cases","test_give_formal_course","Test_get_formal_courses","","","赠送用户免费正式课",""
"passed","Sat Aug 08 01:40:07 CST 2020","Sat Aug 08 01:42:08 CST 2020","120340","cases","test_login","Test_login","","","密码登录",""
"passed","Sat Aug 08 01:38:06 CST 2020","Sat Aug 08 01:38:06 CST 2020","43","cases","test_get_formal_courses","Test_get_formal_courses","","","用户未登录",""
"passed","Sat Aug 08 01:38:06 CST 2020","Sat Aug 08 01:38:07 CST 2020","440","cases","test_get_formal_courses","Test_get_formal_courses","","","获取课程列表成功",""
"passed","Sat Aug 08 01:38:06 CST 2020","Sat Aug 08 01:38:06 CST 2020","110","cases","test_getSchoolYear","Test_getSchoolYear","","","获取入学年份",""
"passed","Sat Aug 08 01:44:08 CST 2020","Sat Aug 08 01:46:08 CST 2020","120264","cases","test_reg","Test_reg","","","注册接口测试",""
"passed","Sat Aug 08 01:46:08 CST 2020","Sat Aug 08 01:46:08 CST 2020","89","cases","test_retainpage","Test_RetainPage","","","用户留单",""
"passed","Sat Aug 08 01:42:08 CST 2020","Sat Aug 08 01:44:08 CST 2020","120111","cases","test_login","Test_login","","","验证码登录",""
